CATEGORY	TIME	INDICATOR	SOURCE	DESCRIPTION	UNIT	MAP	GRAPH	DATA	OPTIONS	ID	AFG	ALB	DZA	AND	AGO	AIA	ATG	ARG	ARM	ABW	AUS	AUT	AZE	BHS	BHR	BGD	BRB	BLR	BEL	BLZ	BEN	BMU	BTN	BOL	BIH	BWA	BRA	VGB	BRN	BGR	BFA	BDI	KHM	CMR	CAN	CPV	CYM	CAF	TCD	CHL	CHN	COL	COM	COG	COK	CRI	CIV	HRV	CUB	CYP	CZE	PRK	COD	DNK	DJI	DMA	DOM	ECU	EGY	SLV	GNQ	ERI	EST	ETH	FJI	FIN	FRA	GAB	GMB	GEO	DEU	GHA	GIB	GRC	GRD	GTM	GIN	GNB	GUY	HTI	VAT	HND	HKG	HUN	ISL	IND	IDN	IRN	IRQ	IRL	ISR	ITA	JAM	JPN	JOR	KAZ	KEN	KIR	KWT	KGZ	LAO	LVA	LBN	LSO	LBR	LBY	LIE	LTU	LUX	MAC	MDG	MWI	MYS	MDV	MLI	MLT	MHL	MRT	MUS	MEX	FSM	MCO	MNG	MNE	MSR	MAR	MOZ	MMR	NAM	NRU	NPL	NLD	ANT	NZL	NIC	NER	NGA	NIU	NOR	OMN	PAK	PLW	PSE	PAN	PNG	PRY	PER	PHL	POL	PRT	QAT	KOR	MDA	ROU	RUS	RWA	KNA	LCA	VCT	WSM	SMR	STP	SAU	SEN	SRB	SYC	SLE	SGP	SVK	SVN	SLB	SOM	ZAF	ESP	LKA	SDN	SUR	SWZ	SWE	CHE	SYR	TJK	THA	MKD	TLS	TGO	TKL	TON	TTO	TUN	TUR	TKM	TCA	TUV	UGA	UKR	ARE	GBR	TZA	USA	URY	UZB	VUT	VEN	VNM	YEM	ZMB	ZWE	GUF	ESH	TWN	GRL	EAZ	SJM	PRI	IMN	JEY	GGY	VIR	KOS	SSD	FrenchPolynesia	Guadeloupe	Guam	Martinique	Mayotte	NewCaledonia	Reunion	HongKong	ChannelIslands	FaeroeIslands	FalklandIslands	NorthernMarianaIslands	Pitcairn	SaintHelena	SaintPierreandMiquelon	WallisandFutunaIslands	WestBankandGaza
>>Sub-Sub-Category 2	2015									subsubcategory2																																																																																																																																																																																																																																														
		Example indicator 1							calc=latestdata	21	5.6	5.4	2		19.5		12.9	8.5	13.2		2.6	3.6	34.5	3.5	6.7	6.5	3.6	10	2.7	4.7	3.8		6.4	4.8	6.1	5.1	4		4.4	6.5	5.5	5.1	10.8	3.2	2.8	10.1		3.8	0.2	4.6	12.7	6.7	1.2	6.2		8.8	0.7	4.7	2.3	4.1	6.8																																																																																																																																																																																											
		Example indicator 2							calc=latestdata	22	620.4	5800.9	6213.61		3992.94		17065.24	12044.9	4557.51		35310.39	36073.98	6120.93	26255.05	29930.69	1228.58	21581.7	9762.25	33798.76	7705.2	1307.93		3794.96	3882.78	6589.3	13474.95	9166.47		49442.68	10989.09	1168.51	356.62	1669.56	2025.59	36943.17	2913.76		691.34	1663.14	13064.07	4748.98	7989.89	1154.95	3801.66		9618.33	1595.66	16363.7	31765.9	26081.65	22300.76																																																																																																																																																																																											
		Example indicator 3							calc=latestdata	23	16.56	18.27	210.02		68.24		1.4	469.4	14.68		737.06	298.26	53.3	8.64	22.42	191	5.91	94.83	357.76	2.31	11.29		2.52	37.38	25.83	23.52	1700.97		18.94	84.39	15.68	2.73	23.04	37.15	1201.87	1.41		2.89	15.4	214.44	6242.44	346.8	0.71	13.11		41.88	31.23	72.66	171.46	19.99	228.61																																																																																																																																																																																											
	2000																																																																																																																																																																																																																																																							
		Example indicator 1									11.2	5.8	5.1		20.6		5	9.2	13.9		3.1	2.5	26.4	5	7.9	6.3	3.9	9.4	2	3	2.9		7	4.4	4	1.6	3.2		0.4	6.4	8.7	0.9	13.3	2.3	3	6.5		2.4	7.9	5.5	11.3	4.7	4.2	7.8		5.9	1.9	4.2	0.4	3.9	6.3																																																																																																																																																																																											
		Example indicator 2									591.41	5352.51	6059.89		3328.61		14802.25	10859.92	3903.5		33862.19	33897.44	4455.83	24877.4	27721.89	1134.02	20226.85	8562.36	32099.52	7324.85	1254.99		3530.85	3664.31	6012.44	12513.13	8603.36		47464.68	9940.82	1097.46	335.1	1456.7	1953.66	35150.18	2604.98		657.92	1648.44	12237.15	4102.5	7339.52	1128	3566.12		8739.05	1580.16	15123.53	30305.33	24816.79	20281.02																																																																																																																																																																																											
		Example indicator 3									15.2	16.78	199.41		55.32		1.21	419.11	12.56		695.67	278.82	38.38	8.08	20.36	173.64	5.53	83.49	337.4	2.14	10.54		2.29	34.54	23.57	21.67	1584.6		17.57	76.73	14.39	2.51	20.14	34.86	1132	1.24		2.7	14.89	198.56	5364.26	314.78	0.68	11.95		37.28	30.02	67.18	163.15	18.59	207.28																																																																																																																																																																																											
